ID,Title,Permalink,spot_editor,spot_table_spot_table1,spot_table_spot_table2,spot_table_spot_table3,spot_table_spot_table4,spot_table_spot_table5,spot_table_spot_table6,spot_table_spot_table7,spot_table_spot_table8,カテゴリー
1140,下谷酒店,https://yufuin.gr.jp/spot/spot-1140/,"下谷酒店は、湯布院の地で何十年もの歴史を持つ、老舗の酒販店です。
由布院駅から徒歩約5分の距離にあり、主に地元のお客様や旅館、飲食店の方々に愛される存在となっています。
日本酒、焼酎、ビールはもとより、店内には地下のワインセラーもあり、豊富な品揃えが特徴のひとつです。
昔ながらの店内で、ノスタルジックなお買い物をおたのしみください。",大分県由布市湯布院町川上３７２４−１０,0977-84-2057,,,8:30-21:00,"水曜日, 第二、第四水曜日のみ定休日",あり,,"買う>食べ物,買う>食べ物以外"
1141,ゆふいんきんりんどう,https://yufuin.gr.jp/spot/spot-1141/,"「湯の街で、お酒と本と音楽が出会う酒屋」をコンセプトにした、ちょっと変わった酒屋です。
リニューアルオープンから一周年を迎え、これからもお客様にとって特別なひとときを提供できるように努めていこうと思っています。

店内はまるでアートギャラリーのような雰囲気の、落ち着きと感性を引き立てる空間を用意しました。
ただ買い物をするだけでなく、五感でたのしむ特別な体験となるような空間を目指しています。

いちばん人気のサービスは、一杯200円の有料試飲体験。お気に入りの味を見つけて、そのままお土産に持ち帰ることも可能です。
もちろん、飲むだけでゆったり過ごしていただくのも大歓迎。

セレクトしているお酒は、なかなか買うことのできないめずらしいお酒ばかりです。
湯布院産米をつかった限定酒「Discovery」や、「とろとろ梅酒」が人気の商品となっています。

ぜひ湯布院にお越しの際は、湯布院ならではの味わいと、特別な空間をおたのしみください。",大分県由布市湯布院町川上３０４８−１,0977-84-4486,,https://www.instagram.com/yufuin_kinrindo/profilecard/?igsh=MWt3dnEybjV4ZjB2cA==,10:00-17:00,水曜日,あり,,"買う>食べ物,買う>食べ物以外"
1142,ゆふいん泰葉,https://yufuin.gr.jp/spot/spot-1142/,"湯布院中心地より少し離れた小高い場所にある旅館です
周辺には、他旅館と少数の民家しかなく、非常に閑静な場所となってます

当館では、約2~3か月毎に懐石メニューを変更しており、短い間隔で宿泊するお客様へのお食事対応もばっちりです

さらに当館の温泉は『青湯』と呼ばれる全国でもとても珍しい温泉であり、とある温泉名人の方からも大絶賛していただいております
源泉は無色透明なのですが、時間の経過や、気温・水温の変化で、徐々に青色へと変化していきます
青い温泉自体は全国に数か所ありますが、当館の温泉の泉質はさらにスゴイ
実際に入浴された方からは｢ものすごいトロトロ｣や｢乳液に使っているみたい｣と言った声を多くいただいております

宿泊以外に立ち寄り温泉利用も行ってます
宿泊者が利用可能な大浴場には入浴できませんが、立ち寄りに来た方が利用可能な｢貸切半露天家族風呂｣と｢男女別小浴場｣をご準備しております
事前予約や、時間指定などは行えませんが、営業時間も10時から20時(最終受付19時　※混雑状況で早めに終了する場合有)
までと、比較的遅くまで利用可能です

県外から多くのお客様に利用いただいておりますので、お近くにお越しの際には、ぜひ当館まで足を運んでいただければと思います",大分県由布市湯布院町川上1270-48,0977-85-2226,http://www.yasuha.co.jp/,,"宿泊のチェックイン　15:00～18:00
立ち寄り湯利用は10:00～20:00（急な悪天候や温泉工事の場合には休業）",6月第1月曜から第1金曜、12月第1月曜から第1金曜(カレンダーによって日付は異なります),あり,"1泊2食　宿泊料金22,000円(税別)から
立ち寄り湯　小浴場900円、貸切家族風呂2,500円・2,800円","客室タイプ>ツイン,客室タイプ>和室,客室タイプ>一棟貸し,お風呂の種類>露天風呂,お風呂の種類>貸切風呂,ペット>ペット不可,WiFi>WiFiあり,お部屋での喫煙>喫煙ルームあり,アメニティ（立ち寄り湯）>あり,お風呂の種類（立ち寄り湯）>貸切風呂"
1143,湯布院パン工房まきのや,https://yufuin.gr.jp/spot/spot-1143/,"平成元年に創業以来、素材の美味しさを求めたぱんを作り続けています。
今流行りでもなく、飛び抜けた味でもないぱんですが、滋養豊かでやさしい、素朴な味の田舎ぱんです。
粉は少し引きがあり、様々な種類の生地に幅広く使える「ハルユタカ」、パン種にはもっちりとした食感に仕上がる「ホシノ天然酵母」を使用。
湯布院で終わりのない「ぱん道」を模索し続けています。",大分県由布市湯布院町川上1098-1,0977-84-3822,https://makinoya.xii.jp/,,10:00-売り切れるまで,火曜日,なし,,"食べる>パン,買う>食べ物"
1144,湯布院塚原高原”サンクチュアリ”Villa,https://yufuin.gr.jp/spot/spot-1144/,"由布市湯布院町塚原にある、湯布院塚原高原”サンクチュアリ”Villa

【 オーナー夫婦の想い】
由布岳・鶴見岳・伽藍岳・塚原高原が目の前に広がる抜群のロケーション。
各部屋から由布岳の雄大な姿を愉しむことができ、四季折々の景色は絶景です。
佇むような一軒家の宿で非日常的な空間と特別な時間をお過ごしください。

周りには人工物がなく、野生のシカや野ウサギ、キジにも出会える自然豊かな場所です。

約60ヶ国を旅して世界の極上を体験してきたオーナーがこの地に出逢い、
訪れる人に特別な体験をしてほしいという思いを込めて施設を誕生させました。
日常の喧騒から離れ、心身ともに癒やされる場所です。

“サンクチュアリ”の名の通り、聖地・聖域にふさわしい、他にないロケーションです。

【おすすめポイント】
◆ グループ、ご家族でお楽しみ頂けます（2～10人）
１日１組１棟貸切りなので、グループやご家族で来られる方が多いです。
記念日や思い出の場所として、周りを気にせずにゆっくりとお過ごしください。

◆バーベキューもできます
食材を持ち込みして頂ければ用具はレンタルも可能です。（有料）
基本は素泊まりですが、ケータリングもしています。（要予約）

◆イベント・宿泊どちらでも使えます
宿泊にプラスしてレンタルもしているので、セミナーやイベント、フォトウェディング
などのご利用、貸切りでお使い頂く事もできます。（有料・要予約・八角堂含む）

◆観光も楽しめます
サンクチュアリを拠点にして由布院や別府観光に連泊もおすすめです。
レクレーション施設が周りにあり、車で10～20分程度で色んな観光地を楽しめます。
特に、アフリカンサファリが人気です。

◆チェックイン　　１５：００
◆チェックアウト　１０：００",大分県由布市湯布院町塚原1217-63,090-9570-1952,https://yufuin-sanctuary.com/,https://www.instagram.com/sanctuary_yufuin/,"チェックイン　　15:00から
チェックアウト　10:00まで",,あり,"33,000円～／２名～","客室タイプ>一棟貸し,お風呂の種類>貸切風呂,ペット>ペット不可,WiFi>WiFiあり,お部屋での喫煙>禁煙ルームのみ"
1145,由布院　鞠智,https://yufuin.gr.jp/spot/spot-1145/,"喧噪の湯の坪通りで、趣のある古民家を移築したカフェ、菓子舗、蕎麦処のある複合店舗。
店舗裏には青々と広がる芝生に、ビオトープがあり自然の息吹を感じることができる。

名物の「どら焼き」は銅板で一枚一枚手焼きをしたこだわりの商品で、焼き立てのどら焼きも食べることができる。
季節の食材を使った「モンブランどら焼き」はお店の看板商品で開店と同時に行列ができるほど。
また、どら焼き以外にもスイートポテト、コンフィチュール、金鍔、焼き菓子などクオリティーの高い商品を販売している。
菓子舗横のカフェではシングルオリジンのコーヒーを提供し、店内でも焼き立てのどら焼きを食べることができるほか、季節によって変わるパフェも人気。

テイクアウトコーナーでは自家製造のジンジャーエールも販売している。
生姜の辛みを生かしたジンジャーエールは、同じコーナーで販売している「黒毛和牛コロッケ」とともに食べ歩きするのに最適。

蕎麦処では大分県産の「冠地鶏」を使った地鶏蕎麦を販売しており、気軽に食べることのできるイートインスペースとなっている。
由布院らしいおしゃれで洗練された空間が楽しめる大人の観光スポットとなっている。",大分県由布市湯布院町川上3001-1,0977-85-4555,https://cucuchi.jp/,https://www.instagram.com/cucuchi.official/,"10:00-17:00　
土日祝　10：00～17：30",不定休（年に数回）,なし,,"食べる>軽食・カフェ,食べる>麺類,食べる時間>ランチ,食べる時間>カフェ,買う>食べ物"
1146,由布院倶楽部,https://yufuin.gr.jp/spot/spot-1146/,"由布院駅から徒歩５分の好立地♪　懐かしい雰囲気の平成を思い出す宿です。
人気スポットが立ち並ぶ「湯の坪街道」にも徒歩５分とアクセスは抜群です♪
館内には、１年を通して利用可能な温水プール（営業時間９：００～１９：００）で小さなお子さまからご年配の方までお楽しみいただけます♪

ご夕食は、当倶楽部の料理長が食材を厳選し、和風創作料理、または九州産黒毛和牛すき焼き・しゃぶしゃぶでご提供しています。
料理が最高！かつ好立地！コスパ良し！と多くのお声を頂いております。
当施設は、湯布院の中心部にございますので、ご夕食なしのプランで宿泊され、近隣の飲食店等で舌鼓される方にも、大変便利です。

また、当館自慢の露天風呂（岩風呂・檜風呂）は、豊後富士とも称される「由布岳」を見ながら由布院温泉で日常を忘れお肌もツルツルに♪
もちろん大浴場（温泉）も完備していますし、スチームサウナもございます。
明るいうちに露天風呂、夜に大浴場、翌朝、日の出を見ながらの露天風呂に入り温泉ざんまいでご堪能ください。

客室は、４０㎡と広々なお部屋でゆっくりおくつろぎいただけます。
チェックアウトは１１：００とご出発までゆっくりご準備ができます。
そんなレトロな雰囲気を作り出す由布院倶楽部で、湯布院での素敵な思い出をお作りください！",大分県由布市湯布院町川上2952-1,0977-28-2600,https://www.yufuinclub.jp/,,"宿泊のチェックインは１５：００～２３：００まで
チェックアウト１１：００まで",定休日なし（１月と７月に１週間休館日あり）,あり,,"客室タイプ>ツイン,客室タイプ>和室,お風呂の種類>露天風呂,ペット>ペット不可,WiFi>WiFiあり,お部屋での喫煙>禁煙ルームのみ"
1147,陶芸工房　馬ん窯 & 狐の豆蔵,https://yufuin.gr.jp/spot/spot-1147/,"陶芸体験、窯元での作陶で３個作れて３５００円です。
狐の豆蔵では出来立てのアッアッ豆腐が食べれて、本物の蕎麦で十割蕎麦も提供しています。
上質の蕎麦粉の蕎麦は、口の中で舞う様な手作り蕎麦です。",由布市挾間町来鉢1520,090-1088-9396,https://kitsunenomamezo.jp/,,11:00-15:30,"水曜日, 木曜日",あり,,"食べる>和食,食べる>麺類,食べる時間>ランチ,遊ぶ・楽しむ>体験・見学"
1148,DAY CAMP,https://yufuin.gr.jp/spot/spot-1148/,"由布院駅から徒歩2分の「ＤＡＹ ＣＡＭＰ（デイキャンプ）」は、湯布院唯一のスポーツバーです。
まるでキャンプに来ているようなアウトドア雰囲気の店内で、焼きそばや鶏塩焼等のスキレット料理や燻製料理、サッポロ生ビールやハイボール・サワー等の各種ドリンクを楽しみながら、105インチ4Kプロジェクターや65インチ4Kテレビでサッカーや野球等のスポーツ観戦や音楽観賞が出来ます。
また大分県内でも珍しい「お客様に焼いて頂くたこ焼き（タコパー）」はお一人様・カップル・グループ・ご家族は勿論、歓送迎会・二次会等のパーティーでの人気メニューとなっています。
ウッドデッキのテラス席あり飲食も可能です。
営業時間は平日は19:00～23:00(L.O 22:30)、土・日・祝は18:00～24:00(L.O 23:30)と遅くまで営業していますので、宿泊先での夕食を済ませた後の二次会的なご利用が可能です。
座席数は、カウンター6席・テーブル10席・テラス席4席の計20席です。基本ほぼ毎日営業です(不定休)。",由布市湯布院町川上3729-1,0977-75-9408,https://bar-yufuin-daycamp.jp/,https://www.instagram.com/daycamp.yufuin/,"19:00-23:00　
土・日・祝　18:00～24:00",定休日なし（不定休）,なし,,"食べる>和食,食べる>居酒屋・バー,食べる時間>ディナー"
1149,柚富の郷 彩岳館,https://yufuin.gr.jp/spot/spot-1149/,"■由布院の街を見下ろす高台に建ち、秀峰由布岳を正面に望む絶好のロケーション。
　季節や時間帯によって様々な表情を見せる由布岳を、時間の許す限り、心ゆくまでお楽しみいただけます。

■敷地内には２つの泉源を持ち、大浴場や露天風呂、貸切家族風呂で源泉かけ流しの温泉をお楽しみいただけます。
　また客室のなかには、「時々刻々と移り変わる由布岳を眺めながら入浴できる半露天風呂」や「プライベート空間を満喫
　しながら入浴できる露天風呂」を有した客室もございます。

■リーズナブルな「スタンダード客室」から、由布岳を望む半露天風呂を有した「半露天風呂付ラグジュアリースイート」
　まで、お客様のニーズやご予算に応じた客室がございます。

■お出しする料理の数々も旬の食材にこだわり、ご夕食は「おおいた和牛」をメイン料理にした創作柚富会席（ゆふかいせき）
　ご朝食は「彩岳館オリジナル野菜ジュース」から始まる健康的な和定食。からだの内と外からきれいになれる宿として人気があります。",大分県由布市湯布院町川上2378-1,0977-44-5000,https://www.saigakukan.co.jp/,https://www.instagram.com/yufunogo_saigakukan/,チェックインは15:00～17:30まで、チェックアウトは8:00～11:00まで。,修繕工事にともなう休館があり（不定）,あり,,"客室タイプ>和室,客室タイプ>和洋室,お風呂の種類>露天風呂,お風呂の種類>貸切風呂,ペット>ペット不可,WiFi>WiFiあり,お部屋での喫煙>禁煙ルームのみ"
1150,雑貨衆　遊季家,https://yufuin.gr.jp/spot/spot-1150/,"1989年から続く金鱗湖の近くにある雑貨店です。
30年以上の歴史を持つ当店は「今風な話題を追う店」には無い面白さが有り立ち寄る価値ありです。
品揃えもバラエティーにとんでいて、特にシニア世代にはお勧めです。",大分県由布市湯布院町川上1551-12,0977-84-4768,www.you-ki-ya.com,,9:30-17:00,"水曜日　シーズンオフに不定期に連休が有ります。
詳細は電話等でご確認ください。",あり,,買う>食べ物以外
1151,HAUS,https://yufuin.gr.jp/spot/spot-1151/,"大分県内の陶芸、木工、染め物等の工芸品を集めたコンセプトショップです。
元々旅館の跡地を改装した店内には湯布院を始めとした
地元作家の器などのクラフトものから、HAUS(家)でのリラックスした
空間を創造するキャンドルやスキンケア製品等が並びます。
HAUSは2022年4月にオープンしました。

This is a concept shop that collects pottery, woodwork, dyed goods, and other crafts from Oita Prefecture.
The store, which was originally a ryokan (Japanese inn), is lined with craft items such as pottery by local artists, including those from Yufuin, as well as candles and skincare products that create a relaxing space at house.
HAUS opened in April 2022.",大分県由布市湯布院町川上1470,080-3180-9019,https://haus.handcrafted.jp,https://www.instagram.com/haus_yufuin/,10:00-17:00,木曜日,あり,,買う>食べ物以外
1152,のいちご,https://yufuin.gr.jp/spot/spot-1152/,"大分のお菓子・地酒・雑貨・衣料を販売しているお土産屋です。
オリジナルのソフトクリーム（のいちごソフト）やコーヒー、いちご飴も販売しており、イートインスペースを利用することもできます。
中庭には、３,０００匹を超える鯉やコメットなどが池で泳いでおり、餌やり体験もすることができます。",大分県由布市湯布院町川上1541-10,0977-85-2717,,,"のいちご店舗　9:30~17:00 
のいちご中庭（こいこい通り）9:30~16:00",不定休,なし,,"食べる>その他（食べる）,食べる時間>カフェ,買う>食べ物,買う>食べ物以外,遊ぶ・楽しむ>その他（遊ぶ・楽しむ）"
1153,道の駅ゆふいん,https://yufuin.gr.jp/spot/spot-1153/,"道の駅ゆふいんは大分自動車の【湯布院IC】を降りた目の前にあります。
眼の前に由布岳を望み、観光へと出かけられる方々の玄関口としてご利用いただいております。
施設には地域の品々を扱う物産館や、お食事処「岳庵」がございます。

また情報コーナーには、道の駅周辺の道路や観光案内の専属案内人も常駐しております。
湯布院観光の際には是非お立ち寄りください。",大分県由布市湯布院町川北899-76,0977-84-5551,https://www.michinoekiyufuin.com/,,9:00-17:00,年中無休,あり,,"食べる>和食,食べる時間>ランチ,買う>食べ物,買う>食べ物以外,その他施設"
1154,ゆふいんバース　里山茶風,https://yufuin.gr.jp/spot/spot-1154/,"湯に癒やされ、湯に満たされる心地よい時間が、
湯布院の丘の上に佇む「ゆふいんバース 里山茶風」で叶います。

すべてのお部屋からは、悠々と鎮座する由布岳を眺めて。
 湯布院の風がとおり、お茶の香りがただよう空間で、
心身のすみずみまでをリラックスさせましょう。

万葉の昔から薬の水として重宝されてきた源泉を、
大浴場で思い切り手足を伸ばして満喫するもよし、
貸切温泉で、大切な人とプライベートな湯浴みを楽しむもよし。
心も体もほぐれるあたたかい休日をご堪能ください。",大分県由布市湯布院町川南828−1,0977-76-5755,https://www.satoyamasafu.jp/,,"チェックイン　　15：00から
チェックアウト　10：00",不定休,あり,,"客室タイプ>ツイン,客室タイプ>和洋室,お風呂の種類>露天風呂,お風呂の種類>貸切風呂,ペット>ペット不可,WiFi>WiFiあり,お部屋での喫煙>禁煙ルームのみ"
1155,九州自動車歴史館,https://yufuin.gr.jp/spot/spot-1155/,"1988年　11月　当時　映画　TV　CM　などに活用していた劇用車を室内展示して　観光で訪れた方々に見ていただきたいと思い　
温泉地　由布院に　西日本で初の自動車博物館を開館しました。

展示コンセプトとして.自動車という無機質な物体を展示するのではなく　自動車をモチーフとしてドラマの一場面のように　
皆様の記憶の中にある　懐かしい一コマ　またスクリーンで見た憧れのワンシーンを再現して　来館者の皆様にお楽しみいただきたいと思っています。

（展示内容）
展示車台数　約70台　オートバイ　約30台

　ご来館される方のために　
懐かしのオールデーズが聞ける4台のジュークボックス、
ハーレーダビットソンやクラシックカーに乗って記念写真の撮れるスタジオ
　ゆふいんの森号や　きかんしゃトーマスの走るNゲージ　
　昭和の村を再現したジオラマ　昭和時代を再現したコーナー
　実際に飛行していた双発飛行機に乗って　操縦ゲームが楽しめるシミュレーター.
　懐かしいボンネットバスの中に乗ることもできます。
自動車関連グッズ　模型　アパレルなど取り揃えたミュージアムショップ

年配の方からお子様まで皆さんで楽しんでもらえるような博物館です。　",大分県由布市湯布院町川上1539,0977-84-3909,http://ret.car.coocan.jp/,,"9:30-16:30　
土日祝日は　9：30-17：00",木曜日,あり,,観る>美術館・博物館
1156,源泉掛け流しの離れ宿　由布院別邸　風の森,https://yufuin.gr.jp/spot/spot-1156/,"源泉掛け流しの離れ宿　由布院別邸　風の森

大切なひとと過ごす、かけがえのないひととき。
全室離れの、トロりとした泉質が自慢の露天内湯付き客室。
地元の旬の食材を吟味、自慢の創作料理は絶品です。

1,200坪の広大な敷地に離れが点在。
目の前には雄大な由布岳を望めます。
非日常空間で癒しのひとときをお過ごしください。
大人の隠れ家を体感ください。",大分県由布市湯布院町川南371-1,0977-84-2510,https://www.e-kazenomori.com/,,"チェックイン　　15：00から
チャックアウト　10：00",不定休,あり,,"客室タイプ>ダブル,客室タイプ>和洋室,お風呂の種類>露天風呂,ペット>ペット不可,WiFi>WiFiあり,お部屋での喫煙>禁煙ルームのみ"
